,precision,recall,f1-score,support
O,0.6307371349095967,0.7577276524644946,0.6884250474383302,1197.0
B-OUT_OF_TOPIC,0.36363636363636365,0.3076923076923077,0.3333333333333333,13.0
B-PLACE_NEGATIVE,0.36363636363636365,0.36363636363636365,0.36363636363636365,11.0
B-PLACE_NEUTRAL,0.0,0.0,0.0,0.0
B-PLACE_POSITIVE,0.75,0.631578947368421,0.6857142857142857,152.0
B-PRICE_NEGATIVE,0.0,0.0,0.0,0.0
B-PRICE_NEUTRAL,0.0,0.0,0.0,2.0
B-PRICE_POSITIVE,0.8627450980392157,0.8301886792452831,0.8461538461538461,53.0
B-PRODUCT_NEGATIVE,0.5238095238095238,0.36666666666666664,0.43137254901960786,30.0
B-PRODUCT_NEUTRAL,0.0,0.0,0.0,7.0
B-PRODUCT_POSITIVE,0.6923076923076923,0.717948717948718,0.7048951048951049,351.0
B-PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
B-PROMOTION_NEUTRAL,0.0,0.0,0.0,2.0
B-PROMOTION_POSITIVE,0.2,0.25,0.2222222222222222,4.0
I-OUT_OF_TOPIC,0.2564102564102564,0.39215686274509803,0.31007751937984496,51.0
I-PLACE_NEGATIVE,0.6896551724137931,0.2702702702702703,0.3883495145631068,74.0
I-PLACE_NEUTRAL,0.0,0.0,0.0,0.0
I-PLACE_POSITIVE,0.6875,0.47277936962750716,0.5602716468590832,349.0
I-PRICE_NEGATIVE,0.0,0.0,0.0,0.0
I-PRICE_NEUTRAL,1.0,0.5,0.6666666666666666,4.0
I-PRICE_POSITIVE,0.821917808219178,0.821917808219178,0.821917808219178,73.0
I-PRODUCT_NEGATIVE,0.5901639344262295,0.4444444444444444,0.5070422535211268,81.0
I-PRODUCT_NEUTRAL,0.0,0.0,0.0,15.0
I-PRODUCT_POSITIVE,0.672463768115942,0.6330150068212824,0.6521433591004919,733.0
I-PROMOTION_NEGATIVE,0.0,0.0,0.0,0.0
I-PROMOTION_NEUTRAL,0.0,0.0,0.0,13.0
I-PROMOTION_POSITIVE,0.1875,0.2727272727272727,0.2222222222222222,11.0
accuracy,0.6475511469311841,0.6475511469311841,0.6475511469311841,0.6475511469311841
macro avg,0.34416604133052425,0.2975092729584188,0.31127569418314127,3226.0
weighted avg,0.6490359658020701,0.6475511469311841,0.6407285572709993,3226.0
